modality_1,modality_1_timepoint,modality_2,modality_2_timepoint,cell-line,broad_sample_modality_1,target_gene_sample_1,broad_sample_modality_2,target_gene_sample_2,correlation,moa_compound,well_modality_1,well_modality_2,value_95
compound,24.0,orf,48.0,A549,BRD-K70821460-300-02-4,HRH4,ccsbBroad304_00376,CSK,0.5647900049372729,histamine receptor agonist,N01,B04,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K51485109-001-01-4,TGM2,ccsbBroad304_00376,CSK,0.5568111987093209,tissue transglutaminase inhibitor,N02,B04,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K48830578-001-01-9,GPR119,ccsbBroad304_01122,OPRM1,0.5533700627872404,FAAH inhibitor,P03,A08,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K77087341-001-02-4,GPR119,ccsbBroad304_00376,CSK,0.5401531561662737,glucose dependent insulinotropic receptor ligand,H02,B04,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K91543828-001-02-0,ADA,ccsbBroad304_00376,CSK,0.526603378270661,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,P02,B04,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K01666412-001-02-0,P3H1,ccsbBroad304_00376,CSK,0.5176121722061053,glutamate receptor agonist,G01,B04,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K16730910-001-07-3,DDR2,ccsbBroad304_14679,JAK1,0.5144647966005931,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,P13,D18,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K97010173-001-04-1,CYP3A4,ccsbBroad304_14931,DYRK1B,0.5137171271589364,chelating agent,L14,G13,0.2074749896603231
compound,48.0,orf,96.0,A549,BRD-K05878375-236-05-7,FFAR2,ccsbBroad304_00305,CHRM3,0.563799276023375,HDAC inhibitor,P01,A10,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K66788707-001-14-3,ADA,ccsbBroad304_14931,DYRK1B,0.5545067547551483,ribonucleotide reductase inhibitor,B06,G13,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K91543828-001-02-0,ADA,ccsbBroad304_00305,CHRM3,0.5427679887713992,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,P02,A10,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K67017579-001-28-1,PDE3A,ccsbBroad304_06272,GHSR,0.5407888875863498,phosphodiesterase inhibitor,P18,A17,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K36574127-001-01-3,NTRK1,ccsbBroad304_00305,CHRM3,0.5366508591408959,tropomyosin receptor kinase inhibitor,A06,A10,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K97010173-001-04-1,CYP3A4,ccsbBroad304_14931,DYRK1B,0.5355287689660195,chelating agent,L14,G13,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K16542329-001-16-8,PDE4D,ccsbBroad304_06272,GHSR,0.5286649844527005,phosphodiesterase inhibitor,O01,A17,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K70821460-300-02-4,HRH4,ccsbBroad304_06272,GHSR,0.5284607007110887,histamine receptor agonist,N01,A17,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K41599323-001-02-3,KRAS,ccsbBroad304_14931,DYRK1B,0.5270997986179741,farnesyltransferase inhibitor,F22,G13,0.2544979369578054
compound,48.0,orf,96.0,A549,BRD-K26439554-001-01-3,LPAR1,ccsbBroad304_01122,OPRM1,0.526462535122848,lysophosphatidic acid receptor antagonist,B01,A08,0.2544979369578054
compound,48.0,orf,48.0,A549,BRD-K93779381-001-01-9,PRKCE,ccsbBroad304_14635,PTK2B,0.595009883336572,PKC activator,M11,J18,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K22482860-001-20-6,KCNH7,ccsbBroad304_00376,CSK,0.5036834320362897,potassium channel blocker,D02,B04,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K05878375-236-05-7,FFAR2,ccsbBroad304_06464,ITGB2,0.4973549123921832,HDAC inhibitor,P01,B12,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K05878375-236-05-7,FFAR2,ccsbBroad304_01122,OPRM1,0.46856682350151285,HDAC inhibitor,P01,A08,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K66788707-001-14-3,ADA,ccsbBroad304_14931,DYRK1B,0.4681130118923511,ribonucleotide reductase inhibitor,B06,G13,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K62949423-001-03-1,CDK4,ccsbBroad304_00376,CSK,0.4634203726548345,CDK inhibitor,D01,B04,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K73789395-001-09-9,BRAF,ccsbBroad304_14635,PTK2B,0.46089885619417503,RAF inhibitor,H11,J18,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K15819326-001-01-6,CSF1R,ccsbBroad304_14635,PTK2B,0.45957732209456076,PDGFR tyrosine kinase receptor inhibitor,I03,J18,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K55567017-001-12-3,ADH1C,ccsbBroad304_14679,JAK1,0.4592447220613431,alcohol dehydrogenase inhibitor,K02,D18,0.20814776318507056
compound,48.0,orf,48.0,A549,BRD-K73789395-001-09-9,BRAF,ccsbBroad304_07194,GLRA3,0.4585874610220093,RAF inhibitor,H11,E05,0.20814776318507056
compound,24.0,orf,48.0,U2OS,BRD-K95785537-001-22-3,LYN,ccsbBroad304_00477,LPAR1,0.5999753792343689,src inhibitor,J10,B05,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K95785537-001-22-3,LYN,ccsbBroad304_14635,PTK2B,0.5917708874047432,src inhibitor,J10,J18,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K28132190-001-02-0,PAK1,ccsbBroad304_14635,PTK2B,0.5703058521482538,p21 activated kinase inhibitor,N14,J18,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K61250553-003-30-6,OPRM1,ccsbBroad304_03934,P3H1,0.5362625806003523,opioid receptor agonist,P23,F23,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K47598052-001-14-1,HCK,ccsbBroad304_14525,ABL1,0.5359875111482316,src inhibitor,A22,C01,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K95785537-001-22-3,LYN,ccsbBroad304_14525,ABL1,0.534026649426719,src inhibitor,J10,C01,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K61250553-003-30-6,OPRM1,ccsbBroad304_01649,TBXAS1,0.5338636180770251,opioid receptor agonist,P23,J24,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-A82396632-008-30-8,KCNN1,ccsbBroad304_00305,CHRM3,0.5313060167883987,bacterial cell wall synthesis inhibitor,P22,A10,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K74514084-003-09-2,FGF1,ccsbBroad304_01602,SSTR2,0.5312327434189228,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,J03,D02,0.24911158148289658
compound,24.0,orf,48.0,U2OS,BRD-K43330982-001-02-3,S1PR2,ccsbBroad304_01649,TBXAS1,0.5274704986242496,lysophospholipid receptor antagonist,O24,J24,0.24911158148289658
compound,24.0,orf,96.0,U2OS,BRD-K28132190-001-02-0,PAK1,ccsbBroad304_00954,LYN,0.5906765692574247,p21 activated kinase inhibitor,N14,C20,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-K91543828-001-02-0,ADA,ccsbBroad304_01122,OPRM1,0.5769459569129114,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,P02,A08,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-K15819326-001-01-6,CSF1R,ccsbBroad304_00954,LYN,0.570075096475867,PDGFR tyrosine kinase receptor inhibitor,I03,C20,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-K19333160-001-01-3,PAK1,ccsbBroad304_01283,PRKCE,0.5591893342578391,rho associated kinase inhibitor,J04,J19,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-A83029242-001-06-1,P2RY12,ccsbBroad304_00305,CHRM3,0.5584067838901763,purinergic receptor antagonist,P08,A10,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-A83029242-001-06-1,P2RY12,ccsbBroad304_01122,OPRM1,0.5570169158120504,purinergic receptor antagonist,P08,A08,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-K91543828-001-02-0,ADA,ccsbBroad304_00305,CHRM3,0.5458399542047008,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,P02,A10,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-K57313110-001-06-8,VEGFA,ccsbBroad304_00305,CHRM3,0.5334290573346931,,P09,A10,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-K25412176-001-01-9,AKT1,ccsbBroad304_00371,MAPK14,0.5305123383142674,AKT inhibitor,F16,G15,0.2401985164567491
compound,24.0,orf,96.0,U2OS,BRD-A83029242-001-06-1,P2RY12,ccsbBroad304_06071,CYP2A6,0.5274090983970134,purinergic receptor antagonist,P08,A15,0.2401985164567491
compound,48.0,orf,48.0,U2OS,BRD-K22134346-001-22-3,ITGB2,ccsbBroad304_14635,PTK2B,0.6520503175944181,HMGCR inhibitor,N24,J18,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K95785537-001-22-3,LYN,ccsbBroad304_14635,PTK2B,0.6481926544942883,src inhibitor,J10,J18,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K68567222-001-01-2,PTPN2,ccsbBroad304_06403,HSD11B1,0.6386795006503834,tyrosine phosphatase inhibitor,O16,C02,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K08893438-001-06-4,RGS4,ccsbBroad304_14635,PTK2B,0.6184299485642801,G protein signaling inhibitor,L19,J18,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K28132190-001-02-0,PAK1,ccsbBroad304_14635,PTK2B,0.6075514814415104,p21 activated kinase inhibitor,N14,J18,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K95785537-001-22-3,LYN,ccsbBroad304_00477,LPAR1,0.6037602086124433,src inhibitor,J10,B05,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K22134346-001-22-3,ITGB2,ccsbBroad304_14525,ABL1,0.6025706199699001,HMGCR inhibitor,N24,C01,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K43236057-001-07-1,ICAM1,ccsbBroad304_14635,PTK2B,0.5986816488425037,ICAM1 expression inhibitor,K08,J18,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K22134346-001-22-3,ITGB2,ccsbBroad304_00477,LPAR1,0.5764424406871871,HMGCR inhibitor,N24,B05,0.24078361934576892
compound,48.0,orf,48.0,U2OS,BRD-K95785537-001-22-3,LYN,ccsbBroad304_14525,ABL1,0.5730951792041378,src inhibitor,J10,C01,0.24078361934576892
compound,48.0,orf,96.0,U2OS,BRD-K28132190-001-02-0,PAK1,ccsbBroad304_00954,LYN,0.668052432387521,p21 activated kinase inhibitor,N14,C20,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K40109029-001-02-9,TGFBR1,ccsbBroad304_00129,ATP5F1D,0.6660947658549974,ALK tyrosine kinase receptor inhibitor,P07,C21,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K66788707-001-14-3,ADA,ccsbBroad304_14931,DYRK1B,0.6392105681838163,ribonucleotide reductase inhibitor,B06,G13,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K08893438-001-06-4,RGS4,ccsbBroad304_00954,LYN,0.629641886480981,G protein signaling inhibitor,L19,C20,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K40109029-001-02-9,TGFBR1,ccsbBroad304_05921,CA5A,0.6172271496496782,ALK tyrosine kinase receptor inhibitor,P07,B02,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-A85242401-001-11-5,P3H1,ccsbBroad304_00129,ATP5F1D,0.6107022405804268,antioxidant,A13,C21,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K22134346-001-22-3,ITGB2,ccsbBroad304_14525,ABL1,0.6097684467231643,HMGCR inhibitor,N24,C01,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K59632282-052-03-1,KCNK1,ccsbBroad304_00129,ATP5F1D,0.6035460023048813,sodium channel blocker,F10,C21,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K08893438-001-06-4,RGS4,ccsbBroad304_14635,PTK2B,0.5934520930864446,G protein signaling inhibitor,L19,J18,0.25473658491856443
compound,48.0,orf,96.0,U2OS,BRD-K15819326-001-01-6,CSF1R,ccsbBroad304_00954,LYN,0.5925438292271805,PDGFR tyrosine kinase receptor inhibitor,I03,C20,0.25473658491856443
